,Precision,Recall,RMSE, R^2,time to fit,time to predict,rank,maxIter,regParam
15,0.899496791830919,0.014450487033573,1.41894284381466,-1.089328254234306,0.69,3.889,10,10,0.001
16,0.8940144725717849,0.0142489373716741,1.2227157945882867,-0.5514147557595614,0.558,4.122,10,10,0.0031622776601680004
17,0.9155563186813188,0.019407707934549,1.0924758463208863,-0.2385129755864707,0.549,4.509,10,10,0.01
18,0.926001004865384,0.0255167920637895,0.9699043422641768,0.0238092671078888,0.653,4.084,10,10,0.031622776601683
19,0.8562901935462912,0.0124747541269207,2.2095514988217397,-4.066232653253319,0.668,6.926,10,10,0.0001
20,0.8524098112021408,0.0119323275424915,3.4945831182295373,-11.672655306863996,0.651,4.045,10,10,1e-05
21,0.961639257274178,0.0420702038934132,0.8708689021617019,0.2129860354731576,0.776,3.953,15,10,0.1
22,0.9000275938906763,0.0262623036378358,1.5067072418938572,-1.35577942577908,0.793,4.078,15,10,0.001
23,0.9159156868702472,0.028169614419662,1.2471270687324794,-0.6139805042546971,0.781,3.945,15,10,0.0031622776601680004
24,0.936644154179824,0.0381829174981777,1.085934344349876,-0.223725501051764,0.802,4.65,15,10,0.01
25,0.9435647705469132,0.0430462303325723,0.9620895358377864,0.0394768082598688,0.808,3.846,15,10,0.031622776601683
26,0.8940949972019094,0.0245792253033484,2.496087619657596,-5.465416774105018,0.744,4.197,15,10,0.0001
27,0.8924428196695638,0.0226463291430061,3.726346997111339,-13.409319163335969,0.88,4.013,15,10,1e-05
28,0.9526282433028466,0.044894570955839,0.8647749634022645,0.2239618200971783,0.932,4.125,20,10,0.1
29,0.9152238949472576,0.0346946576553237,1.4868538241172586,-1.2941056870623189,0.959,4.117,20,10,0.001
30,0.903796120075524,0.0410830209049967,1.2132132155707271,-0.5273942033743888,0.985,4.057,20,10,0.0031622776601680004
31,0.9304185993934392,0.0497828277890882,1.0567013842348891,-0.158727797953335,1.019,4.15,20,10,0.01
32,0.9274615240773552,0.0495306568134633,0.9439127223401896,0.0754283927043413,1.018,4.004,20,10,0.031622776601683
33,0.8974816891608292,0.0328947258279156,2.4154246847774954,-5.054299117564336,0.862,4.095,20,10,0.0001
34,0.9010213754056856,0.0303942295574969,3.5150391131671297,-11.821451593795665,1.048,3.992,20,10,1e-05
35,0.9507456692185756,0.0544911244736432,0.8616145147618153,0.2296237487282066,1.302,4.829,25,10,0.1
36,0.907552199998924,0.0479775002157314,1.450635027857477,-1.183701101299547,1.301,4.149,25,10,0.001
37,0.9038933065963984,0.0532669798658744,1.1783918855323408,-0.4409747132406045,1.271,4.296,25,10,0.0031622776601680004
38,0.9240494553434904,0.0613119038828016,1.029179055370703,-0.0991545244857081,1.171,4.12,25,10,0.01
39,0.9347783590398258,0.0637428467731007,0.927865196054575,0.1065985711411603,1.233,4.212,25,10,0.031622776601683
40,0.8860753553248212,0.0388417933162212,2.314270995743192,-4.557830504710185,1.222,4.137,25,10,0.0001
41,0.9104404199044902,0.0399055162469854,3.201263434628553,-9.634564295967431,1.211,4.243,25,10,1e-05
42,0.969450946656829,0.0574300100372232,0.8605359130818623,0.2315513138059086,1.535,4.198,30,10,0.1
43,0.9194048640628648,0.0562391487797683,1.3702248802442458,-0.9483212679936156,1.596,4.941,30,10,0.001
44,0.9189583079302108,0.0636830684796805,1.135998702241655,-0.3391602311468289,2.375,5.643,30,10,0.0031622776601680004
45,0.9334300953006808,0.07070379990033,1.0031378754355635,-0.0442347219894088,1.478,4.38,30,10,0.01
46,0.9442720427504738,0.0676153826560295,0.9201431144792468,0.1214072112353235,1.459,4.671,30,10,0.031622776601683
47,0.8871157779719399,0.0527239398389331,2.2499832455875426,-4.253339176767809,1.566,4.337,30,10,0.0001
48,0.8868085086330975,0.0466301989142773,3.608148842525066,-12.509701786166278,1.5,4.175,30,10,1e-05
49,0.95023149866007,0.0551190355576791,0.8596916093044671,0.2330584812249643,5.234,4.315,35,10,0.1
