,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
38,60.0,10.0,1e-05,8.915186643600464,0.07967805862426701,0.8870448575387311,0.088826673902596,1.358718199491834,-0.819941980928182,0.9229547901065852,0.0939591683785709,2.0765245248152,-3.4745668684178552,7.893,4.645
39,80.0,10.0,0.0001,11.884806632995605,0.076473236083984,0.8921852659877071,0.079711892254559,1.045006499768783,-0.076556286067265,0.9257650489694984,0.1046694020658148,1.198895596381672,-0.4915561364968448,12.692,5.164
40,100.0,10.0,0.01,27.738982677459717,0.062644481658935,0.9171604125521171,0.059061260586917005,0.89079229387207,0.217739033045966,0.9500781637754012,0.0924432118155383,0.872976767364736,0.2091716221127908,18.501,5.399
41,100.0,10.0,0.001,16.330162525177002,0.06517219543457001,0.9335107861656531,0.07058048523181201,0.92508631797865,0.15634813026299102,0.9365200590933688,0.1037847606989995,0.918833945050912,0.123905536845617,19.95,5.269
42,80.0,10.0,1e-05,11.974908590316772,0.07028698921203601,0.9011206817296911,0.08993272566557901,1.153953792563106,-0.312730559506099,0.921102086745528,0.1042610950970486,1.531690785529059,-1.4345520977185546,12.609,5.198
43,160.0,10.0,0.1,44.02758741378784,0.058754444122314,0.9338452997779421,0.04673114157090601,0.873664427252918,0.24753195098813702,0.9506241134477784,0.0930261145852217,0.8709672277380007,0.2128083095951788,52.679,5.901
44,120.0,10.0,0.001,26.9212064743042,0.06857514381408601,0.9307082785056351,0.076266747919617,0.9138262607823721,0.1767608295553,0.9333023148171268,0.1010931284846563,0.9034791195960332,0.1529420689182314,27.258,5.807
45,100.0,10.0,0.0001,27.407795906066895,0.076167583465576,0.908248306375626,0.08892250813690801,0.99214734215996,0.029599292780365,0.9324069609412324,0.1084035485621609,1.0522544941329923,-0.1489958279025554,20.508,5.168
46,120.0,10.0,0.01,40.3857684135437,0.06696128845214801,0.9308256172839501,0.06132164794390701,0.888470886599075,0.22181086916289802,0.9499166927293328,0.091927197037616,0.8729595552832813,0.2092028066042387,26.801,5.762
47,100.0,10.0,1e-05,29.021453142166138,0.074424266815185,0.9075185086337041,0.09065458019848201,1.060637515183949,-0.10900301341387801,0.926947562783626,0.1089842611324904,1.2605412098640767,-0.6488872876194096,22.522,5.36
48,140.0,10.0,0.01,30.748271942138672,0.06576657295227001,0.936794532627865,0.06090120051600201,0.886945387411719,0.22448086715544002,0.9341317348247398,0.1016033101891561,1.1389765916598376,-0.3461903412085281,37.463,5.949
49,180.0,10.0,0.1,73.29621410369873,0.05869174003601001,0.9177838827838821,0.044908333956124,0.8736155429625461,0.24761615457104402,0.9482485221652216,0.0906488564645929,0.871304323789161,0.212198847944429,75.944,8.458
50,120.0,10.0,0.0001,40.902337312698364,0.09387660026550201,0.9018268369943011,0.082653870690018,0.9674560647936891,0.077298427594537,0.9425974290188112,0.110388766396555,1.0051059499876065,-0.0483361477921924,25.598,5.651
51,120.0,10.0,1e-05,23.26424264907837,0.06777691841125401,0.9027966314731021,0.09061481157244,1.025153958838647,-0.036041003993584,0.923672472515851,0.1065061695816395,1.1949282286829332,-0.481700798772456,25.115,5.538
52,140.0,10.0,0.001,57.89760708808899,0.059816122055053,0.915699691722419,0.07282640532967101,0.900178433377241,0.201167058785091,0.9522148531367342,0.081076747768245,0.8659420252011025,0.2218657935276933,42.874,5.918
53,140.0,10.0,0.01,58.51392722129822,0.063950300216674,0.936794532627865,0.06090120051600201,0.886945387411719,0.22448086715544002,0.9341317348247398,0.1016033101891561,1.1389765916598376,-0.3461903412085281,37.463,5.949
54,200.0,10.0,0.1,77.48367023468018,0.065829515457153,0.9242321428571431,0.046705341986659,0.8736099249599261,0.24762583132383903,0.9481123080912882,0.0816017700602216,0.8656672267351974,0.2223595821452054,108.116,8.194
