,num_recs,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
14,100,13,77,0.464126110076904,0.06758928298950101,0.0008688318102060001,0.005573770491803001,0.007917924572667,0.008929384561328,0.8528295376121461,0.007976557582277001
15,100,13,129,0.46062994003295904,0.07250809669494601,0.000742411378733,0.006393442622950001,0.009023548295097,0.009547810532687,0.817031098153547,0.008589626578575
16,100,13,215,0.5112729072570801,0.07512807846069301,0.000713708433203,0.006098360655737001,0.008059971358785,0.009052418038323,0.8222954822954821,0.008067723820912
17,100,13,359,0.40037989616394004,0.083523035049438,0.0006414784149090001,0.006196721311475001,0.008889333723833001,0.009173766601449002,0.8357351928374651,0.008589029696244001
18,100,13,599,0.49324011802673307,0.10368394851684501,0.0006744531568020001,0.005803278688524,0.009092061438241001,0.009081744421435,0.8446360153256701,0.009271855594708
19,100,13,1000,0.48522400856018005,0.22987794876098602,0.0007195981236740001,0.005934426229508001,0.009037127506955001,0.009118965198588,0.831931382793451,0.009512154262536
20,100,19,10,0.453273057937622,0.15051293373107902,0.000517070961042,0.005311475409836001,0.006561041351816001,0.007697129974956001,0.849367165632225,0.00680769457863
21,100,19,16,0.47304391860961903,0.15598583221435502,0.000515345335502,0.00527868852459,0.006397106925587001,0.0076264074692580005,0.8475301798472531,0.00662434291013
22,100,19,27,0.45369791984558105,0.08750200271606401,0.000515538901052,0.005147540983606,0.006278482460543001,0.0074771994393280005,0.8591158498565901,0.006574539546955
23,100,19,46,0.456207036972045,0.15233039855957,0.0005292775994380001,0.005475409836065001,0.007142673026632001,0.00800614041498,0.844798560315801,0.0072175272285620005
24,100,19,77,0.43721604347229004,0.06682705879211401,0.0005218860739220001,0.005836065573770001,0.0070044630802950005,0.008161542773249,0.8687146187146181,0.007337002139676
25,100,19,129,0.450592994689941,0.07584905624389601,0.0007159513630630001,0.006098360655737001,0.008008564099335001,0.008867082090111,0.8624741200828151,0.008443918373930001
26,100,19,215,0.5476498603820801,0.07990288734436,0.0007812763869040001,0.005934426229508001,0.008238495240044,0.009035322081018001,0.8694100473170241,0.008832672088652
27,100,19,359,0.5429141521453851,0.09359717369079501,0.000646964754053,0.005803278688524,0.007921890933807001,0.008612960005305,0.8848722519310751,0.008878410144265
28,100,19,599,0.48625087738037104,0.108938932418823,0.000666756865814,0.005672131147540001,0.008179273467428,0.008749730846046001,0.870854847963281,0.008448041487266
29,100,19,1000,0.5449087619781491,0.125380039215087,0.0007627870198840001,0.006131147540983001,0.009233454110349001,0.009578265437268,0.8482503607503601,0.009502171245422
30,100,26,10,0.5777399539947511,0.13881278038024902,0.000306937748509,0.004524590163934,0.005284189020098,0.006225292683573001,0.8380781499202551,0.005450292533126001
31,100,26,16,0.48943710327148404,0.06787919998168901,0.00035172871519700003,0.004688524590163,0.006262830102276001,0.006736945736688001,0.833674242424242,0.006258035036675
32,100,26,27,0.5816659927368161,0.08345007896423301,0.00031288691327,0.00455737704918,0.005330455397188001,0.006367307547455001,0.838589981447124,0.005472999993375
33,100,26,46,0.55067229270935,0.071454048156738,0.00031138030813,0.004688524590163,0.00552006415577,0.006429070278544001,0.848931623931623,0.005700678438875
34,100,26,77,0.5304851531982421,0.174701213836669,0.00030125842032000005,0.005114754098360001,0.005899980885756001,0.006785297895459,0.8720883534136541,0.006317222232657
35,100,26,129,0.46790599822998,0.08311605453491201,0.000541884272647,0.005934426229508001,0.007090571301376001,0.008323888771284,0.8669093218682821,0.007477720682862001
36,100,26,215,0.518038988113403,0.092936992645263,0.000520412295931,0.005573770491803001,0.007275967582135,0.007911279560949001,0.8893292682926831,0.007477210294633001
37,100,26,359,0.5559120178222651,0.095874071121215,0.000449685107879,0.005934426229508001,0.007764609138371001,0.008084392960707001,0.8829928498467821,0.008515475617751001
38,100,26,599,0.6317200660705561,0.11962199211120601,0.000557698303968,0.006032786885245001,0.009301206951516,0.008945541980617,0.8755137582723781,0.009816707189254
39,100,26,1000,0.48166227340698203,0.12681388854980402,0.000552111489445,0.006065573770491,0.009131341042523,0.008866076052151001,0.8595860078618691,0.009637126864122
40,100,37,10,0.40152621269226,0.10374498367309501,0.000378743580562,0.004655737704918001,0.006038975307337001,0.006769038240248,0.8349108367626881,0.005497444926058
41,100,37,16,0.55396294593811,0.077169895172119,0.00035851813579600004,0.004491803278688001,0.005565370907903,0.006521028459392001,0.8386075949367081,0.005419084540599001
42,100,37,27,0.5897228717803951,0.0761079788208,0.000385155585542,0.004754098360655001,0.006457568553799001,0.006966641322833001,0.8408068783068781,0.005949275823433
43,100,37,46,0.521315097808837,0.071290016174316,0.000388312744526,0.004786885245901,0.006565088438166,0.007010591843074,0.8478151260504201,0.0060764130792840005
44,100,37,77,0.569998979568481,0.07365775108337401,0.000360679117059,0.005213114754098001,0.0065172271342640005,0.007187931948633001,0.872032828282828,0.006493962388261
45,100,37,129,0.41781401634216303,0.119268178939819,0.000439743069593,0.005704918032786,0.007158973826747001,0.007666903717796001,0.843026859504132,0.006644159351010001
46,100,37,215,0.39371013641357405,0.08695197105407701,0.000517338239312,0.005606557377049,0.008003559825037001,0.008051316855133,0.8255167958656331,0.007333984449714
47,100,37,359,0.509820938110351,0.10345602035522401,0.0006559027670480001,0.006032786885245001,0.009391578488043001,0.009160395251365,0.865793807641633,0.009430774475739001
48,100,37,599,0.38986110687255804,0.12065315246582001,0.0005777594091960001,0.005901639344262,0.008272710342469,0.008545517439222002,0.895462184873949,0.008920525857495
49,100,37,1000,0.597091913223266,0.144873142242431,0.0006388746324750001,0.006196721311475001,0.0096679533572,0.009359789605921001,0.8702969132316951,0.010079290327979001
50,100,51,10,0.555541038513183,0.078399181365966,0.000360203173101,0.004622950819672,0.005409410592084001,0.006524794420823,0.8554085155350971,0.005299767361179
51,100,51,16,0.650925874710083,0.078666925430297,0.00036290639932400005,0.004754098360655001,0.005462103800515,0.006658364604856,0.859090909090909,0.005363372622804
52,100,51,27,0.544528007507324,0.077461957931518,0.00036653373857200005,0.004819672131147,0.005700949654115,0.006767638202243,0.8655764966740571,0.005620160694898
53,100,51,46,0.584500074386596,0.07910299301147401,0.000372492151608,0.004918032786885,0.005850504006746001,0.006871946979702,0.8667944505293901,0.005765683488936001
54,100,51,77,0.45531177520751903,0.08375906944274901,0.00041700438784500005,0.005442622950819,0.006432714747149001,0.0074906933912210006,0.8795806906272021,0.006406525227628
55,100,51,129,0.5803089141845701,0.09669876098632801,0.00035721394535400005,0.005803278688524,0.006622670403212001,0.007565951273396001,0.834425770308123,0.006342583670261
56,100,51,215,0.6159873008728021,0.11755800247192301,0.00033059022750800003,0.005540983606557,0.006111827026396,0.0071496526142,0.8329268292682921,0.006023775993581001
57,100,51,359,0.610892057418823,0.106790304183959,0.000418681510088,0.005803278688524,0.007559283860150001,0.007941667165514001,0.8591206179441471,0.007676705703436
58,100,51,599,0.60174822807312,0.12109804153442301,0.0006247529100860001,0.006032786885245001,0.009035456809516,0.008938155675895001,0.8939225589225581,0.009746051091731
